H,-0.5,VNET,0.5,GAUGE
m,m3,m3,m3,cm
0,0,0,0,-31.6
0.1,0.02,0.028,0.038,-21.6
0.2,0.151,0.17,0.191,-11.6
0.3,0.391,0.414,0.439,-1.6
0.4,0.891,0.919,0.949,8.4
0.5,1.595,1.624,1.653,18.4
0.6,2.473,2.503,2.532,28.4
0.7,5.616,5.746,5.877,38.4
0.8,11.551,11.682,11.814,48.4
0.9,17.584,17.715,17.849,58.4
1,23.701,23.833,23.967,68.4
1.1,29.892,30.025,30.16,78.4
1.2,36.148,36.281,36.417,88.4
1.3,42.462,42.596,42.733,98.4
1.4,48.786,48.963,49.025,108.4
1.5,50.715,50.751,50.789,118.4
1.6,52.368,52.405,52.443,128.4
1.7,54.06,54.097,54.136,138.4
1.8,55.785,55.823,55.862,148.4
1.9,57.541,57.579,57.618,158.4
2,59.323,59.362,59.401,168.4
2.1,61.129,61.168,61.208,178.4
2.2,62.956,62.994,63.035,188.4
2.3,64.799,64.838,64.879,198.4
2.4,66.658,66.696,66.737,208.4
2.5,68.527,68.566,68.606,218.4
2.6,70.405,70.443,70.484,228.4
2.7,72.287,72.326,72.366,238.4
2.8,74.173,74.211,74.251,248.4
2.9,76.059,76.097,76.138,258.4
3,77.945,77.984,78.024,268.4
3.1,79.832,79.87,79.911,278.4
3.2,81.719,81.757,81.797,288.4
3.3,83.605,83.643,83.684,298.4
3.4,85.492,85.53,85.57,308.4
3.5,87.378,87.416,87.457,318.4
3.6,89.265,89.303,89.343,328.4
3.7,91.151,91.189,91.23,338.4
3.8,93.038,93.076,93.116,348.4
3.9,94.924,94.962,95.003,358.4
4,96.811,96.849,96.889,368.4
4.1,98.697,98.735,98.776,378.4
4.2,100.584,100.622,100.662,388.4
4.3,102.47,102.508,102.549,398.4
4.4,104.357,104.395,104.436,408.4
4.5,106.244,106.281,106.322,418.4
4.6,108.13,108.168,108.209,428.4
4.7,110.017,110.054,110.095,438.4
4.8,111.903,111.941,111.982,448.4
4.9,113.79,113.827,113.868,458.4
5,115.676,115.714,115.755,468.4
5.1,117.563,117.6,117.641,478.4
5.2,119.449,119.487,119.528,488.4
5.3,121.336,121.373,121.414,498.4
5.4,123.222,123.26,123.301,508.4
5.5,125.109,125.146,125.187,518.4
5.6,126.995,127.033,127.074,528.4
5.7,128.882,128.919,128.961,538.4
5.8,130.769,130.806,130.847,548.4
5.9,132.655,132.692,132.734,558.4
6,134.542,134.579,134.62,568.4
6.1,136.428,136.465,136.507,578.4
6.2,138.315,138.352,138.393,588.4
6.3,140.201,140.238,140.28,598.4
6.4,142.088,142.125,142.166,608.4
6.5,143.974,144.011,144.053,618.4
6.6,145.861,145.898,145.939,628.4
6.7,147.747,147.784,147.826,638.4
6.8,149.634,149.671,149.712,648.4
6.9,151.52,151.557,151.599,658.4
7,153.407,153.444,153.486,668.4
7.054,154.353,154.457,154.393,673.8
