H,-2,VNET,2,GAUGE
m,m3,m3,m3,cm
0.000,0.000,0.000,0.000,-40.2
0.100,0.005,0.005,0.005,-30.2
0.200,0.035,0.034,0.032,-20.2
0.300,0.091,0.092,0.095,-10.2
0.400,0.175,0.171,0.170,-0.2
0.500,0.316,0.292,0.278,9.8
0.600,0.520,0.482,0.450,19.8
0.700,0.784,0.730,0.683,29.8
0.800,1.102,1.035,0.976,39.8
0.900,1.486,1.398,1.321,49.8
1.000,1.937,1.826,1.729,59.8
1.100,2.450,2.321,2.201,69.8
1.200,3.020,2.873,2.739,79.8
1.300,3.654,3.484,3.330,89.8
1.400,4.363,4.159,3.981,99.8
1.500,5.139,4.907,4.696,109.8
1.600,5.980,5.719,5.482,119.8
1.700,6.884,6.595,6.331,129.8
1.800,7.851,7.531,7.240,139.8
1.900,8.879,8.529,8.209,149.8
2.000,9.962,9.585,9.237,159.8
2.100,11.104,10.696,10.322,169.8
2.200,12.302,11.862,11.459,179.8
2.300,13.554,13.084,12.650,189.8
2.400,14.858,14.357,13.895,199.8
2.500,16.211,15.681,15.191,209.8
2.600,17.611,17.053,16.536,219.8
2.700,19.057,18.471,17.928,229.8
2.800,20.546,19.933,19.363,239.8
2.900,22.077,21.437,20.842,249.8
3.000,23.647,22.981,22.362,259.8
3.100,25.255,24.565,23.921,269.8
3.200,26.897,26.184,25.518,279.8
3.300,28.575,27.837,27.150,289.8
3.400,30.285,29.524,28.816,299.8
3.500,32.006,31.244,30.513,309.8
3.594,32.886,32.888,32.136,319.2
